market_id,condition_id,slug,question,category,volume_num,yes_token,entry_ts,entry_yes_price,terminal_yes_price,side,gross_pnl_per_contract,net_pnl_per_contract,return_on_stake,hit,history_points,history_window_days
253591,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,will-donald-trump-win-the-2024-us-presidential-election,Will Donald Trump win the 2024 US Presidential Election?,,1531479284.504353,21742633143463906290569050155826241533067272736897614950488156847949938836455,1729814403,0.641,1.0,ABSTAIN,0.0,0.0,,,13,14
253597,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,will-kamala-harris-win-the-2024-us-presidential-election,Will Kamala Harris win the 2024 US Presidential Election?,,1037039118.18879,69236923620077691027083946871148646972011131466059644796654161903044970987404,1729814403,0.3605,0.0,ABSTAIN,0.0,0.0,,,13,14
2169995,0x3733a1b647e7364095736ab0966465d896a84cf3b6bc1695ca1f26c3239b3868,microstrategy-sells-any-bitcoin-by-may-31-2026,"MicroStrategy sells any Bitcoin by May 31, 2026?",,375813104.55575246,25714007960293389110960044475283546872601238755063051359394740854408462452120,1779494414,0.075,0.0,BUY_NO,0.075,0.075,0.08108108108108107,True,13,14
1640919,0x6d0e09d0f04572d9b1adad84703458b0297bc5603b69dccbde93147ee4443246,us-forces-enter-iran-by-april-30-899,US forces enter Iran by April 30?,,269049107.0837461,2916184120206223749839849644877707470354946028257066951797428049170871002238,1774656054,0.585,1.0,ABSTAIN,0.0,0.0,,,3,14
546814,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,will-zelenskyy-wear-a-suit-before-july,Will Zelenskyy wear a suit before July?,,242231180.272023,103864131794756285503734468197278890131080300305704085735435172616220564121629,1750982407,0.167,0.0,BUY_NO,0.167,0.167,0.20048019207683077,True,13,14
2036399,0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,us-x-iran-ceasefire-extended-by-april-22-2026,"US x Iran ceasefire extended by April 22, 2026?",,203621392.1401,50049642142024617231697970377792489304039200104142714216386619263735691638204,1776816017,0.48,0.0,ABSTAIN,0.0,0.0,,,10,14
2270330,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,"US x Iran permanent peace deal by June 15, 2026?",,177370818.43892464,5904694069529905826680225678119990013628860098514322777023141327768111791078,1780704005,0.085,1.0,BUY_NO,-0.915,-0.915,-1.0,False,13,14
558938,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,will-argentina-win-the-2026-fifa-world-cup-245,Will Argentina win the 2026 FIFA World Cup?,,174315688.25573426,18812649149814341758733697580460697418474693998558159483117100240528657629879,1783468804,0.185,0.0,BUY_NO,0.185,0.185,0.22699386503067487,True,13,14
253727,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,Kamala Harris wins the popular vote?,,163779786.645492,21271000291843361249209065706097167029083067325856089903026951915683588703117,1730332803,0.6135,0.0,ABSTAIN,0.0,0.0,,,13,14
680392,0x43ec78527bd98a0588dd9455685b2cc82f5743140cb3a154603dc03c02b57de5,will-there-be-another-us-government-shutdown-by-january-31,US government shutdown Saturday?,,157296576.448084,52607315900507156846622820770453728082833251091510131025984187712529448877245,1769126425,0.085,1.0,BUY_NO,-0.915,-0.915,-1.0,False,13,14
558963,0x37a6de1b21803e5f3fb1965116218215d79963af4f7e51659696366267a63a03,will-morocco-win-the-2026-fifa-world-cup-464,Will Morocco win the 2026 FIFA World Cup?,,152254451.3257818,69910730841487615802736046038473620030754616421912831175284551372639933569112,1782864003,0.0315,0.0,BUY_NO,0.0315,0.0315,0.03252452245740836,True,13,14
