path,bytes,sha256
raw/gamma/1125126.json,5481,68c14cd14973874ba613a12347d42992b598ce65edc21bff096afda5b28d7ab3
raw/gamma/1139951.json,5434,922813c4f4efe98ac6ded03ab8ec8a8d54b78b7d82f5555d723960da1faf1b0c
raw/gamma/1175892.json,4894,8795afc00d0b69a4f5be1439a430abcf7481746070859e82e9686c641d06b6b1
raw/gamma/1230454.json,5507,b0a9d7b2cac86a0e117384bdbddd896eddb95f9316fb7acb7f2b344826dc67ff
raw/gamma/1237795.json,5383,53996c5d5c4475d115b79aaca2e763bdccec65bdbd4587a023900732cbeb85cd
raw/gamma/1238099.json,5429,3de6a01d13120519bb722292863ff16032f4b99ee95ae40a8098292ad6d2f0cc
raw/gamma/1238101.json,4871,a8e50d429bc4553938fdc2fc1c94d3fcd94f0e697e8407a5c02771cfcb078224
raw/gamma/1244920.json,5478,fbd78f35311a9f5ee3a18cc1f3d84ef6e054a87432bfe6ca8ae555446837848d
raw/gamma/1244935.json,5371,ad980f6647dfc3fa700a27b65d04ea09cf8d175adbae9ff20cb203b10157fa42
raw/gamma/1254013.json,5418,02797ac1f4e9552262d2a14562ad5ee608eeeb30fe4edeca2e9a04d013cd7ea7
raw/gamma/1268878.json,4869,9e64b1a2fdde01db759b903f1441b5f1e899e84d3f364ca8fc06a5657b273518
raw/gamma/1280186.json,5476,9b7161caedcd6b98996b218dcbfebe3ec2ec0ec7efe914e3fcb0edc66d32316a
raw/gamma/1287905.json,5451,007de7810c7ac0ea7339e347df12b96e1cc064481494caca7f3de02309a95789
raw/gamma/1293041.json,4942,a2463d746cba579b11e60588801fbfe5b87ade3c6cdecc640676a09d1f1afcd7
raw/gamma/1321183.json,5344,fadf818d23dae583cd7656e38cca35a8a302eb0d728838f64c34ed54daad470e
raw/gamma/1321400.json,5401,be3f8af2313211cb9de0298361d973518a4da41a6a851a0fd68f423c434d51ab
raw/gamma/1339788.json,5407,20f7c59f080d3cd00563643756bfd590cab00ccaea948b2af3fb44ab97f44824
raw/gamma/1339807.json,5408,4d455a9542cbaf36b30a20737c6365020a098819e438f206d3fb1a3b6a24ac59
raw/gamma/1362677.json,4888,b63e2b2221339df848178209ade1ede0160fa1eab4e27003bdc2c3525f746395
raw/gamma/1367585.json,5385,7709be284fbb88e480a7bc46debd2f67d5666a73560763a2b22743c6ea918e98
raw/gamma/1369645.json,4921,6188979d6edaf677369f089490bed29006f5c3716871984e82e089515ee5a3f5
raw/gamma/1369646.json,4876,2cafa39edd9810a3f6f90d91587fb53616f5f1001c0e90c2203440a150106202
raw/gamma/1369670.json,5402,3bd2d9e7ae57d1ca47b8abc54debb8e2174731979081a0d311a96d6bcc99e1c5
raw/gamma/1399742.json,5350,249675eec52857c7c29e8bcfc1dd6565c8295c5bdb2d5ab733976c81d410b122
raw/gamma/1403526.json,4912,fe394dfb38d8a1abaaf15eb3fa189bca20b9e76c8a311d9d1545ad27095fb49b
raw/gamma/1403853.json,4568,d4a45c4afe2b6da7fb3806aef3eeb1c86cbe56d24b8acd7790d89d80893ea39c
raw/gamma/1421510.json,4934,15ba6ea83aa6dd9df7ddfde0777fa39d892e20df1f4432e986f83d2caaea5c2b
raw/gamma/1421646.json,5185,406fb89a66249fece16a769777619bb0e822eb8e91391158383fed3dff5cf162
raw/gamma/1486791.json,5064,57bd40c5bd02a6e4994d689023733b0769b3ef1abcde60d327a8f83dc74640a0
raw/gamma/1494785.json,5178,f13d58a7afd9490cd809ef4521e47350d87d23fb92d690d50e343479af17c3c9
raw/gamma/1499778.json,5199,da920050bd6c3fdc5f15d828d0951b7eba9e17075adb1b712df0b473e1652ff7
raw/gamma/1555635.json,5094,dadff94057328e331fd34b4a831f37032b613f624e72b45c9698b6f7f46d8936
raw/gamma/1735232.json,5278,d951546f072aec6233a5c0a808f33ee1415367f499d18db452a7e5db461c86f8
raw/gamma/1891432.json,4836,9db3fa366f33a9e52a5153f4612eff252ef54465871f2c800dcff556d87fe143
raw/gamma/1921506.json,5110,2abde53d453a62ba25359be86e0a8bb66ae3d7b38ca756a4bb1b0fa146443397
