date,nav,matched_spy_nav,daily_return,matched_spy_daily_return,daily_pnl,matched_spy_daily_pnl,daily_active_pnl,free_cash_eod,matched_spy_free_cash_eod,gross_mtm_exposure_pre_exit,net_mtm_exposure_pre_exit,long_gross_exposure_pre_exit,short_gross_exposure_pre_exit,raw_committed_capital,committed_capital_utilization,concurrent_positions,drawdown
2025-10-13,1.000068081067571,1.0004007509623742,6.808106757105747e-05,0.0004007509623742411,6.808106757105747e-05,0.0004007509623742411,-0.00033266989480318365,0.8889996676636757,0.8892212252132492,0.11095763462910857,0.11095763462910857,0.11095763462910857,0.0,1.002,0.11100033233632434,1,0.0
2025-10-14,1.0020429415619259,1.0002649289074812,0.001974726052897058,-0.00013576764587830414,0.001974860494354802,-0.00013582205489304222,0.0021106825492478443,0.8889996676636757,0.8892212252132492,0.11293249512346344,0.11293249512346344,0.11293249512346344,0.0,1.002,0.11100033233632434,1,0.0
2025-10-15,1.0017597599833026,1.000757910751305,-0.0002826042346866231,0.0004928512732742529,-0.00028318157862328164,0.0004929818438237366,-0.0007761634224470182,0.8889996676636757,0.8892212252132492,0.11264931354484023,0.11264931354484023,0.11264931354484023,0.0,1.002,0.11100033233632434,1,-0.0002826042346866231
2025-10-16,1.0028850523277089,0.9999983309141545,0.0011233155786023463,-0.0007590045794194644,0.0011252923444062812,-0.0007595798371504703,0.0018848721815567515,0.8889996676636757,0.8892212252132492,0.11377460588924646,0.11377460588924646,0.11377460588924646,0.0,1.002,0.11100033233632434,1,0.0
2025-10-17,1.0036601051711984,1.000627124493615,0.0007728232080941311,0.0006287946289726953,0.0007750528434895543,0.0006287935794604405,0.00014625926402911382,0.8889996676636757,0.8892212252132492,0.1145496587327361,0.1145496587327361,0.1145496587327361,0.0,1.002,0.11100033233632434,1,0.0
2025-10-20,1.0036079386031576,1.0017858015783716,-5.1976329209502126e-05,0.0011579509053816217,-5.216656804085673e-05,0.0011586770847566985,-0.0012108436527975552,0.8889996676636757,0.8892212252132492,0.11449749216469506,0.11449749216469506,0.11449749216469506,0.0,1.002,0.11100033233632434,1,-5.1976329209502126e-05
2025-10-21,1.0032651213652881,1.0017841195395518,-0.00034158482080814956,-1.679040386837194e-06,-0.0003428172378694416,-1.6820388197835712e-06,-0.00034113519904965806,0.8889996676636757,0.8892212252132492,0.11415467492682563,0.11415467492682563,0.11415467492682563,0.0,1.002,0.11100033233632434,1,-0.0003935433956926415
2025-10-22,1.0031533308450402,1.0011989144998168,-0.00011142669855379594,-0.0005841628234274365,-0.00011179052024790082,-0.0005852050397350261,0.0004734145194871253,0.8889996676636757,0.8892212252132492,0.11404288440657787,0.11404288440657787,0.11404288440657787,0.0,1.002,0.11100033233632434,1,-0.0005049262430051327
2025-10-23,1.0039554294269637,1.002466476855388,0.0007995772503170961,0.001266044476490924,0.0008020985819234827,0.001267562355571128,-0.00046546377364764524,0.7779993353273513,0.7784424504264984,0.22573453655003897,0.22573453655003897,0.22573453655003897,0.0,2.004,0.22200066467264867,2,0.0
2025-10-24,1.0034757225278197,1.0042973254642555,-0.0004778169280063027,0.0018263439737264964,-0.00047970689914400566,0.001830848608867619,-0.0023105555080116247,0.8909392878349804,0.8920047337932383,0.22536560842568165,0.22536560842568165,0.22536560842568165,0.0,2.004,0.22200066467264867,2,-0.0004778169280063027
2025-10-27,1.0033720356020848,1.0056221157858156,-0.00010332778701782619,0.0013191216266035255,-0.00010368692573492488,0.0013247903215600765,-0.0014284772472950014,0.8909392878349804,0.8920047337932383,0.11232196899231763,0.11232196899231763,0.11232196899231763,0.0,1.002,0.11100033233632434,1,-0.0005810953432583421
